Train Epoch: [1/5] Iters:[880/20018] gen_loss 0.1420, rec_loss 0.0286, lpips_loss 0.2051, g_loss -0.0279, disc_weight 0.4000, disc_adaptive_weight 3.2856, d_loss 0.4426, logits_real 0.0267, logits_fake 0.0279,
Train Epoch: [1/5] Iters:[890/20018] gen_loss 0.1360, rec_loss 0.0283, lpips_loss 0.2043, g_loss -0.0283, disc_weight 0.4000, disc_adaptive_weight 3.4086, d_loss 0.4418, logits_real 0.0269, logits_fake 0.0281,
Train Epoch: [1/5] Iters:[900/20018] gen_loss 0.1380, rec_loss 0.0290, lpips_loss 0.2061, g_loss -0.0287, disc_weight 0.4000, disc_adaptive_weight 3.3759, d_loss 0.4412, logits_real 0.0272, logits_fake 0.0284,
Train Epoch: [1/5] Iters:[910/20018] gen_loss 0.1357, rec_loss 0.0288, lpips_loss 0.2059, g_loss -0.0289, disc_weight 0.4000, disc_adaptive_weight 3.4101, d_loss 0.4401, logits_real 0.0275, logits_fake 0.0288,
Train Epoch: [1/5] Iters:[920/20018] gen_loss 0.1251, rec_loss 0.0286, lpips_loss 0.2047, g_loss -0.0293, disc_weight 0.4000, disc_adaptive_weight 3.6894, d_loss 0.4385, logits_real 0.0278, logits_fake 0.0291,
Train Epoch: [1/5] Iters:[930/20018] gen_loss 0.1202, rec_loss 0.0285, lpips_loss 0.2046, g_loss -0.0296, disc_weight 0.4000, disc_adaptive_weight 3.8040, d_loss 0.4376, logits_real 0.0281, logits_fake 0.0295,
Train Epoch: [1/5] Iters:[940/20018] gen_loss 0.1186, rec_loss 0.0286, lpips_loss 0.2048, g_loss -0.0297, disc_weight 0.4000, disc_adaptive_weight 3.8504, d_loss 0.4367, logits_real 0.0281, logits_fake 0.0297,
Train Epoch: [1/5] Iters:[950/20018] gen_loss 0.1148, rec_loss 0.0282, lpips_loss 0.2041, g_loss -0.0296, disc_weight 0.4000, disc_adaptive_weight 3.9554, d_loss 0.4361, logits_real 0.0280, logits_fake 0.0297,
Train Epoch: [1/5] Iters:[960/20018] gen_loss 0.1153, rec_loss 0.0282, lpips_loss 0.2046, g_loss -0.0298, disc_weight 0.4000, disc_adaptive_weight 3.9317, d_loss 0.4353, logits_real 0.0281, logits_fake 0.0298,
Train Epoch: [1/5] Iters:[970/20018] gen_loss 0.1188, rec_loss 0.0285, lpips_loss 0.2057, g_loss -0.0299, disc_weight 0.4000, disc_adaptive_weight 3.8425, d_loss 0.4349, logits_real 0.0284, logits_fake 0.0301,
Train Epoch: [1/5] Iters:[980/20018] gen_loss 0.1238, rec_loss 0.0286, lpips_loss 0.2057, g_loss -0.0299, disc_weight 0.4000, disc_adaptive_weight 3.6855, d_loss 0.4340, logits_real 0.0283, logits_fake 0.0300,
Train Epoch: [1/5] Iters:[990/20018] gen_loss 0.1277, rec_loss 0.0285, lpips_loss 0.2052, g_loss -0.0298, disc_weight 0.4000, disc_adaptive_weight 3.5566, d_loss 0.4330, logits_real 0.0282, logits_fake 0.0298,
Train Epoch: [1/5] Iters:[1000/20018] gen_loss 0.1293, rec_loss 0.0288, lpips_loss 0.2052, g_loss -0.0296, disc_weight 0.4000, disc_adaptive_weight 3.5371, d_loss 0.4323, logits_real 0.0280, logits_fake 0.0296,
Train Epoch: [1/5] Iters:[1010/20018] gen_loss 0.1259, rec_loss 0.0284, lpips_loss 0.2039, g_loss -0.0291, disc_weight 0.4000, disc_adaptive_weight 3.6620, d_loss 0.4313, logits_real 0.0277, logits_fake 0.0292,
Train Epoch: [1/5] Iters:[1020/20018] gen_loss 0.1268, rec_loss 0.0283, lpips_loss 0.2035, g_loss -0.0289, disc_weight 0.4000, disc_adaptive_weight 3.6509, d_loss 0.4306, logits_real 0.0272, logits_fake 0.0288,
